???,Unnamed: 1,dlnC_RAW,dlnY_RAW,dlnC_NOME,dlnY_NOME,POP,RGDPPC_PPP,TO,FO
AUS,1983,-0.706,1.996,-0.19,0.943,15348.0,14238.924,0.244,0.6
AUS,1984,-0.3,2.754,0.027,1.514,15510.0,15062.411,0.262,0.65
AUS,1985,2.188,1.629,0.951,1.317,15695.0,15638.356,0.296,0.695
AUS,1986,-1.578,-0.749,-0.372,0.345,15900.0,15757.17,0.28,0.727
AUS,1987,0.789,2.501,0.754,1.529,16137.0,16293.301,0.279,0.744
AUS,1988,1.753,0.983,1.255,0.795,16400.0,16752.256,0.272,0.75
AUS,1989,2.371,0.833,1.107,0.05,16681.0,17194.413,0.282,0.75
AUS,1990,-1.767,-3.461,-0.574,-1.835,16956.0,17172.682,0.259,0.75
AUS,1991,-0.496,-2.548,-0.231,-1.19,17202.0,16743.324,0.258,0.75
AUS,1992,-0.706,1.137,-0.136,0.564,17419.0,16988.874,0.279,0.75
AUS,1993,0.202,1.745,0.465,1.128,17608.0,17478.185,0.293,0.75
AUS,1994,2.916,1.979,1.697,1.552,17781.0,18145.568,0.295,0.75
AUS,1995,1.294,1.492,1.214,1.446,17976.0,18529.558,0.31,0.75
AUS,1996,0.197,1.208,1.146,1.572,18195.0,19075.082,0.304,0.75
AUS,1997,2.474,1.928,2.138,1.97,18415.0,19612.092,0.312,0.75
AUS,1998,2.641,2.675,2.043,1.903,18621.0,20377.95,0.326,0.75
AUS,1999,1.833,1.422,1.761,1.212,18830.0,20970.894,0.313,0.75
AUS,2000,1.342,-0.634,1.562,0.454,19053.0,21377.823,0.354,0.75
AUS,2001,0.48,1.015,0.958,0.712,19294.0,21662.026,0.35,0.75
AUS,2002,1.342,0.68,1.532,0.7,19345.0,22236.935,0.336,0.75
AUS,2003,3.153,1.39,2.273,0.868,19767.0,22666.278,0.305,0.75
AUS,2004,2.039,-0.152,1.768,0.316,19995.0,23322.008,0.31,0.75
AUS,2005,0.713,0.475,0.94,0.414,20232.0,23764.614,0.329,0.75
AUS,2006,1.019,0.089,0.841,0.557,20489.0,24097.573,0.349,0.75
AUS,2007,-0.712,1.686,-0.425,0.691,20750.0,24911.578,0.336,0.75
AUS,2008,-0.828,0.257,-0.407,0.079,21007.0,25218.302,0.39,0.75
AUS,2009,-0.49,-1.636,-0.363,-0.854,21388.483,25255.639,0.322,0.75
AUS,2010,-0.385,-0.94,-0.109,-0.611,21687.801,25584.488,0.347,0.75
AUS,2011,1.269,-0.415,0.41,-0.351,22035.048,25873.432,0.353,0.75
AUS,2012,-0.328,0.414,-0.259,-0.089,22440.985,26395.155,0.335,0.75
AUS,2013,-1.316,-0.592,-0.651,-0.447,22812.686,26527.066,0.336,0.75
AUS,2014,0.023,-0.33,-0.18,-0.375,23156.021,26817.468,0.332,0.75
AUS,2015,0.046,-0.442,-0.252,-0.578,23488.596,27091.147,0.327,0.75
AUS,2016,0.261,-0.141,-0.261,-0.596,23853.45,27382.671,0.316,0.75
CAN,1875,-7.036,-5.688,-4.822,-3.828,4071.0,1783.967,0.382,
CAN,1876,-10.79,-10.211,-5.49,-4.934,4128.0,1640.917,0.401,
CAN,1877,5.19,3.286,-0.295,-0.891,4184.0,1727.441,0.389,
CAN,1878,-7.09,-7.217,-3.048,-2.678,4244.0,1637.202,0.366,
CAN,1879,3.712,5.677,1.343,2.265,4312.0,1765.234,0.35,
CAN,1880,-0.417,0.977,1.454,2.046,4384.0,1815.887,0.388,
CAN,1881,12.639,9.765,5.994,5.362,4451.0,2039.578,0.375,
CAN,1882,-0.525,1.498,0.41,1.745,4503.0,2109.072,0.354,
CAN,1883,-4.626,-2.743,-1.802,-0.36,4560.0,2090.366,0.319,
CAN,1884,-2.371,4.656,-1.571,0.647,4617.0,2230.934,0.32,
CAN,1885,-0.137,-9.204,-0.432,-4.209,4666.0,2072.81,0.326,
CAN,1886,-0.059,-1.735,-0.279,-1.223,4711.0,2075.245,0.348,
CAN,1887,-1.794,0.277,-0.413,0.16,4760.0,2119.9,0.313,
CAN,1888,3.642,4.054,1.801,1.35,4813.0,2248.901,0.311,
CAN,1889,0.362,-2.284,1.238,-0.31,4865.0,2239.217,0.314,
CAN,1890,6.569,4.177,2.533,1.394,4918.0,2378.377,0.305,1.0
CAN,1891,-3.692,-0.585,-1.396,-0.648,4972.0,2408.726,0.323,1.0
CAN,1892,-1.055,-3.438,-1.251,-1.953,5022.0,2370.84,0.327,1.0
CAN,1893,-4.427,-3.431,-2.42,-1.933,5072.0,2333.7,0.33,1.0
CAN,1894,1.363,1.798,-1.038,-0.695,5121.0,2420.461,0.322,1.0
CAN,1895,-4.931,-3.919,-3.007,-2.121,5169.0,2370.965,0.349,1.0
CAN,1896,-5.222,-5.394,-2.548,-1.767,5218.0,2288.477,0.376,1.0
CAN,1897,2.278,7.447,0.598,3.127,5269.0,2511.513,0.399,1.0
CAN,1898,-0.053,0.972,1.438,2.014,5325.0,2583.456,0.395,1.0
CAN,1899,10.719,6.04,5.889,4.312,5383.0,2795.615,0.431,1.0
CAN,1900,2.485,2.201,2.825,2.955,5457.0,2911.266,0.411,1.0
CAN,1901,-0.854,4.325,1.419,3.787,5536.0,3096.777,0.411,1.0
CAN,1902,6.488,5.436,2.943,3.494,5650.0,3330.925,0.402,1.0
CAN,1903,-4.85,-1.771,-1.56,0.067,5813.0,3333.628,0.386,1.0
CAN,1904,-1.369,-3.488,-0.045,-0.326,5994.0,3279.564,0.376,1.0
CAN,1905,4.3,6.404,2.333,3.784,6166.0,3561.817,0.39,1.0
CAN,1906,5.872,5.829,2.136,2.879,6282.0,3846.207,0.29,1.0
CAN,1907,-2.739,-1.111,-2.369,-0.672,6596.0,3874.85,0.356,1.0
CAN,1908,-13.742,-9.989,-5.166,-3.575,6813.0,3572.061,0.332,1.0
CAN,1909,6.305,5.63,1.749,2.391,6993.0,3849.598,0.364,1.0
CAN,1910,1.791,3.61,0.796,2.129,7188.0,4065.761,0.367,1.0
CAN,1911,2.405,1.694,0.729,1.603,7410.0,4212.538,0.372,1.0
CAN,1912,-0.305,1.98,-1.289,0.649,7602.0,4377.131,0.42,1.0
CAN,1913,-4.121,-0.274,-4.103,-1.275,7852.0,4446.765,0.405,1.0
CAN,1914,-13.222,-11.81,-6.981,-4.87,8093.0,4025.285,0.375,0.987
CAN,1915,-2.031,3.176,-2.262,1.167,8191.0,4232.888,0.479,0.953
CAN,1916,4.783,7.462,0.642,2.63,8214.0,4646.115,0.624,0.891
CAN,1917,-0.406,1.418,-1.188,-0.836,8277.0,4800.581,0.639,0.8
CAN,1918,-0.095,-9.647,-2.401,-6.522,8374.0,4440.595,0.514,0.7
CAN,1919,-14.958,-11.819,-7.124,-8.797,8548.0,4019.343,0.511,0.609
CAN,1920,7.956,-5.86,-0.507,-7.067,8798.0,3861.476,0.521,0.547
CAN,1921,-20.233,-15.852,-9.23,-8.582,9028.0,3357.01,0.396,0.513
CAN,1922,7.671,10.362,1.858,3.691,9159.0,3793.146,0.391,0.5
CAN,1923,-1.321,2.855,-0.338,1.793,9256.0,3975.958,0.421,0.525
CAN,1924,2.31,-1.826,2.492,0.702,9394.0,3977.019,0.411,0.593
CAN,1925,6.417,6.888,4.577,4.234,9549.0,4340.276,0.429,0.694
CAN,1926,5.964,1.696,5.766,2.398,9713.0,4497.057,0.427,0.806
CAN,1927,7.469,5.641,6.385,4.033,9905.0,4846.996,0.417,0.907
CAN,1928,5.419,4.63,4.29,2.028,10107.0,5171.589,0.427,0.975
CAN,1929,2.357,-3.927,0.593,-3.362,10305.0,5065.446,0.403,0.975
CAN,1930,-7.96,-7.014,-5.693,-7.227,10488.0,4810.604,0.331,0.907
CAN,1931,-8.517,-20.213,-7.178,-14.511,10657.0,4003.693,0.262,0.806
CAN,1932,-11.351,-10.515,-8.691,-10.63,10794.0,3671.453,0.249,0.694
CAN,1933,-5.539,-10.408,-4.189,-7.218,10919.0,3370.406,0.268,0.593
CAN,1934,2.272,7.235,0.052,3.487,11030.0,3691.03,0.295,0.525
CAN,1935,1.581,4.944,0.793,3.387,11136.0,3950.625,0.299,0.5
CAN,1936,1.711,2.447,1.251,3.282,11243.0,4124.206,0.342,0.5
CAN,1937,3.431,6.276,1.481,4.378,11341.0,4473.41,0.347,0.5
CAN,1938,-4.234,-0.245,-1.316,1.49,11452.0,4545.91,0.289,0.5
CAN,1939,-0.006,2.92,0.549,4.065,11570.0,4768.131,0.3,0.5
CAN,1940,4.331,10.002,2.729,8.322,11688.0,5368.245,0.339,0.5
CAN,1941,3.713,10.116,2.47,9.738,11818.0,6050.767,0.373,0.5
CAN,1942,-0.541,13.196,0.736,10.364,11969.0,7033.376,0.392,0.5
CAN,1943,-0.086,1.357,1.298,2.615,12115.0,7262.759,0.428,0.5
CAN,1944,3.955,0.593,3.671,-0.154,12268.0,7442.561,0.442,0.5
CAN,1945,6.817,-6.102,5.53,-3.917,12404.0,7132.953,0.407,0.5
CAN,1946,7.046,-4.721,5.555,-3.18,12634.0,6931.243,0.354,0.5
CAN,1947,3.017,0.387,1.955,-0.972,12901.0,7088.21,0.4,0.5
CAN,1948,-6.486,-2.176,-2.802,-1.706,13180.0,7065.324,0.369,0.5
CAN,1949,1.682,-1.87,0.619,-0.983,13469.0,7064.08,0.344,0.525
CAN,1950,0.699,1.316,-0.169,0.569,14011.42,7291.48,0.343,0.593
CAN,1951,-3.35,1.413,-1.342,0.908,14330.67,7533.49,0.372,0.694
CAN,1952,1.948,2.047,1.043,0.836,14785.58,7833.035,0.344,0.806
CAN,1953,2.367,0.059,1.478,-0.123,15183.38,7984.259,0.332,0.907
CAN,1954,-1.119,-5.485,0.554,-1.748,15636.25,7699.419,0.311,0.975
CAN,1955,3.917,4.462,2.419,1.856,16050.36,8201.251,0.317,1.0
CAN,1956,3.112,3.497,1.871,1.495,16445.09,8651.946,0.33,1.0
CAN,1957,-1.5,-2.376,-0.303,-1.185,17010.15,8606.742,0.315,1.0
CAN,1958,-0.88,-2.701,-0.089,-1.431,17462.0,8534.015,0.291,1.0
