???;;dlnC_RAW;dlnY_RAW;dlnC_NOME;dlnY_NOME;POP;RGDPPC_PPP;TO ;FO
AUS;1982;-0.95145685;-5.5043162;-0.1905871;-2.1177235;15162;14411.819;0.269175983;0.554748645
AUS;1983;-0.7059865;1.9957956;-0.19001127;0.94284394;15348;14238.924;0.24413148;0.599874414
AUS;1984;-0.3001372;2.7544551;0.026991875;1.5143002;15510;15062.411;0.26215845;0.650125586
AUS;1985;2.1879452;1.6290447;0.95148387;1.3172021;15695;15638.356;0.295703777;0.695251355
AUS;1986;-1.5777374;-0.74896475;-0.37220946;0.34458982;15900;15757.17;0.279618868;0.726745936
AUS;1987;0.78867619;2.5013641;0.7538592;1.5291512;16137;16293.301;0.279152216;0.743631004
AUS;1988;1.7526307;0.98331405;1.2553133;0.79464912;16400;16752.256;0.272475343;0.75
AUS;1989;2.3714346;0.83263873;1.1066069;0.050329385;16681;17194.413;0.282241049;0.75
AUS;1990;-1.7671605;-3.4613991;-0.57373947;-1.8350997;16956;17172.682;0.25904654;0.75
AUS;1991;-0.49577362;-2.5475771;-0.23115454;-1.189721;17202;16743.324;0.258319974;0.75
AUS;1992;-0.70634823;1.136914;-0.13594642;0.56439443;17419;16988.874;0.279232586;0.75
AUS;1993;0.20168036;1.7448621;0.46464677;1.1282176;17608;17478.185;0.292512073;0.75
AUS;1994;2.9157581;1.9794833;1.6967284;1.5523474;17781;18145.568;0.295316267;0.75
AUS;1995;1.2941455;1.4918338;1.2140023;1.4456931;17976;18529.558;0.310287073;0.75
AUS;1996;0.19691814;1.2082029;1.1459891;1.5716072;18195;19075.082;0.303896325;0.75
AUS;1997;2.473647;1.9281919;2.1377235;1.9700605;18415;19612.092;0.312014776;0.75
AUS;1998;2.6407536;2.6746897;2.0429237;1.9026211;18621;20377.95;0.325973918;0.75
AUS;1999;1.8326544;1.4216234;1.7610924;1.2124156;18830;20970.894;0.312859637;0.75
AUS;2000;1.3421047;-0.63383469;1.5616249;0.45354901;19053;21377.823;0.353947464;0.75
AUS;2001;0.48007882;1.0153627;0.95779513;0.71221927;19294;21662.026;0.350121451;0.75
AUS;2002;1.3423586;0.67970844;1.5315357;0.70023214;19345;22236.935;0.336486644;0.75
AUS;2003;3.1525633;1.3903529;2.2728333;0.86816129;19767;22666.278;0.305275252;0.75
AUS;2004;2.0388127;-0.15206896;1.7684563;0.31552907;19995;23322.008;0.309635017;0.75
